"source_type","source_input","schedule_enabled","cron_expression","timezone","active","run_timeout_ms","run_max_retries","params"
"rss_feed","https://techcrunch.com/feed/","true","0 0 * * 0","Europe/London","true","","","{""source_name"":""TechCrunch""}"
"rss_feed","https://fredblog.stlouisfed.org/feed/","true","5 0 * * 0","Europe/London","true","","","{""source_name"":""FRED""}"
"rss_feed","https://therisefuel.substack.com/feed","true","10 0 * * 0","Europe/London","true","","","{""source_name"":""The Rise Fuel""}"
"rss_feed","https://www.techrepublic.com/rssfeeds/topic/internet-of-things/","true","15 0 * * 0","Europe/London","true","","","{""source_name"":""Internet of Things""}"
"rss_feed","https://www.theverge.com/rss/index.xml","true","20 0 * * 0","Europe/London","true","","","{""source_name"":""The Verge""}"
"rss_feed","https://singularityhub.com/feed","true","25 0 * * 0","Europe/London","true","","","{""source_name"":""Singularity""}"
"rss_feed","https://www.semrush.com/blog","true","30 0 * * 0","Europe/London","true","","","{""source_name"":""Team Semrush""}"
"rss_feed","https://feeds.bbci.co.uk/news/world/rss.xml","true","35 0 * * 0","Europe/London","true","","","{""source_name"":""BBC World News""}"
"rss_feed","https://www.technologyreview.com/feed/","true","40 0 * * 0","Europe/London","true","","","{""source_name"":""MIT Technology Review""}"
"rss_feed","https://feeds.bloomberg.com/markets/news.rss","true","45 0 * * 0","Europe/London","true","","","{""source_name"":""Bloomberg Market""}"
"rss_feed","https://www.cnbc.com/id/100003114/device/rss/rss.html","true","50 0 * * 0","Europe/London","true","","","{""source_name"":""CNBC Top News""}"
"rss_feed","https://www.coindesk.com/arc/outboundfeeds/rss","true","55 0 * * 0","Europe/London","true","","","{""source_name"":""Coin Desk""}"
"rss_feed","https://www.ycombinator.com/blog/feed/","true","0 1 * * 0","Europe/London","true","","","{""source_name"":""Y Combinator""}"
"rss_feed","https://www.exponentialview.co/feed","true","5 1 * * 0","Europe/London","true","","","{""source_name"":""Exponential View""}"
"rss_feed","https://www.weforum.org/","true","10 1 * * 0","Europe/London","true","","","{""source_name"":""World Economic Forum""}"
"rss_feed","https://www.theblock.co/rss.xml","true","15 1 * * 0","Europe/London","true","","","{""source_name"":""The Block""}"
"rss_feed","https://www.vox.com/rss/index.xml","true","20 1 * * 0","Europe/London","true","","","{""source_name"":""Vox""}"
"rss_feed","https://www.wired.com/feed/rss","true","25 1 * * 0","Europe/London","true","","","{""source_name"":""Wired""}"
"youtube","https://www.youtube.com/channel/UCCjyq_K1Xwfg8Lndy7lKMpA","true","30 1 * * 0","Europe/London","true","","","{""source_name"":""TechCrunch""}"
"youtube","https://www.youtube.com/channel/UCKEXu8aCjrudFNx2jq9FfQw","true","35 1 * * 0","Europe/London","true","","","{""source_name"":""FRED""}"
"youtube","https://www.youtube.com/channel/UCWZg7FTpyFB9lSpk-_cVr3Q","true","40 1 * * 0","Europe/London","true","","","{""source_name"":""Jamie Tree""}"
"youtube","https://www.youtube.com/channel/UCI7M65p3A-D3P4v5qW8POxQ","true","45 1 * * 0","Europe/London","true","","","{""source_name"":""CryptosRUs""}"
"youtube","https://www.youtube.com/channel/UCUdlMZ02XYLVeknNEY8F4vw","true","50 1 * * 0","Europe/London","true","","","{""source_name"":""A Homestead Journey""}"
"youtube","https://www.youtube.com/channel/UCr_EaO_b08W8I46F5n4u3eA","true","55 1 * * 0","Europe/London","true","","","{""source_name"":""Figure""}"
"youtube","https://www.youtube.com/channel/UCnjgxChqYYnyoqO4k_Q1d6Q","true","0 2 * * 0","Europe/London","true","","","{""source_name"":""The Diary of a CEO Clips""}"
"youtube","https://www.youtube.com/channel/UCaBOIBVD_f6eyRRRBRrCz8w","true","5 2 * * 0","Europe/London","true","","","{""source_name"":""Dirty Tesla""}"
"youtube","https://www.youtube.com/channel/UCagiBBx1prefrlsDzDxuA9A","true","10 2 * * 0","Europe/London","true","","","{""source_name"":""Solving The Money Problem""}"
"youtube","https://www.youtube.com/channel/UCD_DaKNac0Ta-2PeHuoQ1uA","true","15 2 * * 0","Europe/London","true","","","{""source_name"":""Senator Bernie Sanders""}"
"youtube","https://www.youtube.com/channel/UCgbyN_o-Guwpyqfuuz3pyIw","true","20 2 * * 0","Europe/London","true","","","{""source_name"":""Farzad""}"
"youtube","https://www.youtube.com/channel/UCvxm0qTrGN_1LMYgUaftWyQ","true","25 2 * * 0","Europe/London","true","","","{""source_name"":""Peter H Diamandis""}"
"youtube","https://www.youtube.com/channel/UCiUnrCUGCJTCC7KjuW493Ww","true","30 2 * * 0","Europe/London","true","","","{""source_name"":""Crypto Zombie""}"
"youtube","https://www.youtube.com/channel/UCBJycsmduvYEL83R_U4JriQ","true","35 2 * * 0","Europe/London","true","","","{""source_name"":""Marques Brownlee""}"
"youtube","https://www.youtube.com/channel/UCCZVmatSqIMTTB8uExk8xEg","true","40 2 * * 0","Europe/London","true","","","{""source_name"":""London Real""}"
"youtube","https://www.youtube.com/channel/UCqcbQf6yw5KzRoDDcZ_wBSw","true","45 2 * * 0","Europe/London","true","","","{""source_name"":""Wes Roth""}"
"youtube","https://www.youtube.com/channel/UCvKRFNawVcuz4b9ihUTApCg","true","50 2 * * 0","Europe/London","true","","","{""source_name"":""David Shapiro""}"
"youtube","https://www.youtube.com/channel/UCQANb2YPwAtK-IQJrLaaUFw","true","55 2 * * 0","Europe/London","true","","","{""source_name"":""Brian Tyler Cohen""}"
"youtube","https://www.youtube.com/channel/UC9cn0TuPq4dnbTY-CBsm8XA","true","0 3 * * 0","Europe/London","true","","","{""source_name"":""A16z""}"
"youtube","https://www.youtube.com/channel/UCbY9xX3_jW5c2fjlZVBI4cg","true","5 3 * * 0","Europe/London","true","","","{""source_name"":""The AI GRID""}"
"youtube","https://www.youtube.com/channel/UCqK_GSMbpiV8spgD3ZGloSw","true","10 3 * * 0","Europe/London","true","","","{""source_name"":""Coin Bureau""}"
"youtube","https://www.youtube.com/channel/UCML9PlpcOxM_H53IM0fa4XA","true","15 3 * * 0","Europe/London","true","","","{""source_name"":""From The Desk Of Anthony Pompliano""}"
"youtube","https://www.youtube.com/channel/UCrp_UI8XtuYfpiqluWLD7Lw","true","20 3 * * 0","Europe/London","true","","","{""source_name"":""CNBC Television""}"
"youtube","https://www.youtube.com/channel/UCdxGqN9_aBisOJHzIRTGLfg","true","25 3 * * 0","Europe/London","true","","","{""source_name"":""Michael Bordenaro""}"
"youtube","https://www.youtube.com/channel/UC0U53m4qjY1WM_30khZrwMA","true","30 3 * * 0","Europe/London","true","","","{""source_name"":""Chasing Sharpe""}"
"youtube","https://www.youtube.com/channel/UC6OOQMJYX09OyrSRPABNxhA","true","35 3 * * 0","Europe/London","true","","","{""source_name"":""Library of Wealth""}"
"youtube","https://www.youtube.com/channel/UCSJx2iNjVaCCPaB8SPU_XXw","true","40 3 * * 0","Europe/London","true","","","{""source_name"":""Epic Economist""}"
"youtube","https://www.youtube.com/channel/UCKXjkaYg4odQWPnwbDjaqYQ","true","45 3 * * 0","Europe/London","true","","","{""source_name"":""AI Upload""}"
"youtube","https://www.youtube.com/channel/UCJjAIBWeY022ZNj_Cp_6wAw","true","50 3 * * 0","Europe/London","true","","","{""source_name"":""The Tesla Space""}"
"youtube","https://www.youtube.com/channel/UCnMku7J_UtwlcSfZlIuQ3Kw","true","55 3 * * 0","Europe/London","true","","","{""source_name"":""Dan Gambardello""}"
