"source_type","source_input","schedule_enabled","cron_expression","timezone","active","run_timeout_ms","run_max_retries","params"
"youtube","https://www.youtube.com/channel/UCCjyq_K1Xwfg8Lndy7lKMpA","true","0 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCKEXu8aCjrudFNx2jq9FfQw","true","5 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCagiBBx1prefrlsDzDxuA9A","true","10 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCrp_UI8XtuYfpiqluWLD7Lw","true","15 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCORX3Cl7ByidjEgzSCgv9Yw","true","20 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UC9ZM3N0ybRtp44-WLqsW3iQ","true","25 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCshwRhftzkiov5wKR7M_LsQ","true","30 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCZHmQk67mSJgfCCTn7xBfew","true","35 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCKmSF6eFkqyXQNX1TUudbmw","true","40 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCpsoJVVPRUL1KKeSFg4XZRQ","true","45 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCcBzKSM4A-pIHMJWSnxmi_g","true","50 0 * * 0","Europe/London","true","","","{}"
"youtube","https://www.youtube.com/channel/UCbNOk_wOA7UMvYrF7K0iBvQ","true","55 0 * * 0","Europe/London","true","","","{}"
